location,T,R
"Brisbane, Australia",23.43,3.75
"Cairns, Australia",27.15,9.26
"Darwin, Australia",28.83,9.46
"Thursday Island, Australia",23.43,3.75
"Townsville, Australia",27.42,5.89
Philippines,26.15,6.91
Philippines,26.7,6.52
Southern region of Taiwan,23.7,6.49
"Peshawar district, Pakistan",18.73,1.27
"Ahmedabad City, India",27.75,2.05
"Tokyo, Japan",22.04,4.37
"Tokyo, Japan",22.04,4.44
"Northern Lao, PDR",24,4.42
"Rio de Janeiro, Brazil",22.67,3.53
"Rio de Janeiro, Brazil",22.28,3.45
Brazil,25.48,4.85
Colombia,25.09,7.59
Honduras,24.63,5.22
Mexico,21.05,2.17
Puerto Rico,25.08,6.38
Indonesia,26.01,7.62
Malaysia,26.41,7.69
Philippines,26.07,6.47
Thailand,27.1,4.13
Vietnam,24.89,4.72
"Yap Island, FSM",27.4,8.7
"Fais, FSM",27.4,8.7
"Ribeirao Preto, Brazil",22.22,4.77
"Ribeirao Preto, Brazil",22.18,3.78
"Ribeirao Preto, Brazil",22.22,4.77
"Ribeirao Preto, Brazil",22.18,3.78
"Ribeirao Preto, Brazil",22.22,4.77
"Ribeirao Preto, Brazil",22.18,3.78
"Guangdong Province, China",21.83,5.18
"Western Province, Sri Lanka",27.2,6.43
"Central Province, Sri Lanka",24.7,4.93
"Sucre Province, Venezuela",24.93,4.12
"Bolivar Province, Venezuela",24.41,5.81
"Mueang Rayong, Thailand",28.34,5.27
"Havana City, Cuba",25.26,4.64
"Easter Island, Chile",20.9,2.93
"Salvador, Brazil",24.67,2.13
"Salvador, Brazil",24.92,2.29
Singapore,27.68,6.26
Taiwan,23.7,6.49
Brazil,25.48,4.97
Singapore,27.52,7.15
"Rio de Janeiro, Brazil",22.01,3.64
"Belem, Brazil",26.54,6.13
"Sao Paulo State, Brazil",22.31,3.5
"Sao Paulo State, Brazil",21.85,3.58
